id,date,year_week,product_number,reporterhq_id,prod_category,specs,display_size,segment,sales_units,inventory_units
202224-2961,2022-06-18,202224,2961,15,Doraemon,186631,15.6,Gaming,52.0,88.0
202225-2961,2022-06-25,202225,2961,15,Doraemon,186631,15.6,Gaming,6.0,88.0
202226-2961,2022-07-02,202226,2961,15,Doraemon,186631,15.6,Gaming,60.0,138.0
202227-2961,2022-07-09,202227,2961,15,Doraemon,186631,15.6,Gaming,158.0,65.0
202228-2961,2022-07-16,202228,2961,15,Doraemon,186631,15.6,Gaming,23.0,30.0
202229-2961,2022-07-23,202229,2961,15,Doraemon,186631,15.6,Gaming,12.0,15.0
202230-2961,2022-07-30,202230,2961,15,Doraemon,186631,15.6,Gaming,26.0,10.0
202231-2961,2022-08-06,202231,2961,15,Doraemon,186631,15.6,Gaming,60.0,12.0
202232-2961,2022-08-13,202232,2961,15,Doraemon,186631,15.6,Gaming,83.0,24.0
202233-2961,2022-08-20,202233,2961,15,Doraemon,186631,15.6,Gaming,0.0,51.0
202234-2961,2022-08-27,202234,2961,15,Doraemon,186631,15.6,Gaming,87.0,29.0
202235-2961,2022-09-03,202235,2961,15,Doraemon,186631,15.6,Gaming,89.0,27.0
202236-2961,2022-09-10,202236,2961,15,Doraemon,186631,15.6,Gaming,18.0,
202237-2961,2022-09-17,202237,2961,15,Doraemon,186631,15.6,Gaming,0.0,71.0
202238-2961,2022-09-24,202238,2961,15,Doraemon,186631,15.6,Gaming,12.0,52.0
202239-2961,2022-10-01,202239,2961,15,Doraemon,186631,15.6,Gaming,0.0,63.0
202240-2961,2022-10-08,202240,2961,15,Doraemon,186631,15.6,Gaming,0.0,103.0
202241-2961,2022-10-15,202241,2961,15,Doraemon,186631,15.6,Gaming,0.0,138.0
202242-2961,2022-10-22,202242,2961,15,Doraemon,186631,15.6,Gaming,12.0,139.0
202243-2961,2022-10-29,202243,2961,15,Doraemon,186631,15.6,Gaming,156.0,87.0
202244-2961,2022-11-05,202244,2961,15,Doraemon,186631,15.6,Gaming,0.0,88.0
202245-2961,2022-11-12,202245,2961,15,Doraemon,186631,15.6,Gaming,79.0,140.0
202246-2961,2022-11-19,202246,2961,15,Doraemon,186631,15.6,Gaming,0.0,162.0
202247-2961,2022-11-26,202247,2961,15,Doraemon,186631,15.6,Gaming,44.0,96.0
202248-2961,2022-12-03,202248,2961,15,Doraemon,186631,15.6,Gaming,27.0,71.0
202249-2961,2022-12-10,202249,2961,15,Doraemon,186631,15.6,Gaming,0.0,90.0
202250-2961,2022-12-17,202250,2961,15,Doraemon,186631,15.6,Gaming,18.0,106.0
202251-2961,2022-12-24,202251,2961,15,Doraemon,186631,15.6,Gaming,15.0,83.0
202252-2961,2022-12-31,202252,2961,15,Doraemon,186631,15.6,Gaming,26.0,43.0
202301-2961,2023-01-07,202301,2961,15,Doraemon,186631,15.6,Gaming,40.0,29.0
202302-2961,2023-01-14,202302,2961,15,Doraemon,186631,15.6,Gaming,0.0,34.0
202303-2961,2023-01-21,202303,2961,15,Doraemon,186631,15.6,Gaming,63.0,19.0
202304-2961,2023-01-28,202304,2961,15,Doraemon,186631,15.6,Gaming,29.0,18.0
202305-2961,2023-02-04,202305,2961,15,Doraemon,186631,15.6,Gaming,38.0,29.0
202306-2961,2023-02-11,202306,2961,15,Doraemon,186631,15.6,Gaming,54.0,60.0
202307-2961,2023-02-18,202307,2961,15,Doraemon,186631,15.6,Gaming,0.0,128.0
202308-2961,2023-02-25,202308,2961,15,Doraemon,186631,15.6,Gaming,0.0,137.0
202309-2961,2023-03-04,202309,2961,15,Doraemon,186631,15.6,Gaming,40.0,77.0
202310-2961,2023-03-11,202310,2961,15,Doraemon,186631,15.6,Gaming,8.0,65.0
202311-2961,2023-03-18,202311,2961,15,Doraemon,186631,15.6,Gaming,0.0,92.0
202312-2961,2023-03-25,202312,2961,15,Doraemon,186631,15.6,Gaming,0.0,174.0
202313-2961,2023-04-01,202313,2961,15,Doraemon,186631,15.6,Gaming,11.0,212.0
202314-2961,2023-04-08,202314,2961,15,Doraemon,186631,15.6,Gaming,0.0,237.0
202315-2961,2023-04-15,202315,2961,15,Doraemon,186631,15.6,Gaming,58.0,176.0
202316-2961,2023-04-22,202316,2961,15,Doraemon,186631,15.6,Gaming,104.0,91.0
202317-2961,2023-04-29,202317,2961,15,Doraemon,186631,15.6,Gaming,19.0,62.0
202318-2961,2023-05-06,202318,2961,15,Doraemon,186631,15.6,Gaming,30.0,71.0
