date,id,product_number,reporterhq_id,prod_category,segment,inventory_units,sales_units,inventory_detrended,sales_detrended,inventory_residuals,sales_residuals,inventory_units_cleansed,sales_units_cleansed
2021-01-30,202104-10857,10857,12,Doraemon,Gaming,52.0,0.0,54.471428571428284,-3.871428571428337,-2.4714285714282838,3.871428571428337,52.0,0.0
2021-02-06,202105-10857,10857,12,Doraemon,Gaming,48.0,8.0,38.11428571428586,23.48571428571425,9.885714285714137,-15.485714285714248,48.0,8.0
2021-02-13,202106-10857,10857,12,Doraemon,Gaming,72.0,39.0,86.82857142857148,15.77142857142858,-14.828571428571479,23.22857142857142,72.0,39.0
2021-02-20,202107-10857,10857,12,Doraemon,Gaming,138.0,0.0,109.88571428571434,36.34285714285717,28.114285714285657,-36.34285714285717,138.0,0.0
2021-02-27,202108-10857,10857,12,Doraemon,Gaming,87.0,69.0,108.34285714285721,28.45714285714287,-21.342857142857213,40.54285714285713,87.0,69.0
2021-03-06,202109-10857,10857,12,Doraemon,Gaming,88.0,0.0,77.28571428571432,29.914285714285732,10.71428571428568,-29.914285714285732,88.0,0.0
2021-03-13,202110-10857,10857,12,Doraemon,Gaming,61.0,20.0,63.742857142857176,4.228571428571424,-2.7428571428571757,15.771428571428576,61.0,20.0
2021-03-20,202111-10857,10857,12,Doraemon,Gaming,51.0,7.0,50.91428571428573,18.142857142857153,0.08571428571426765,-11.142857142857153,51.0,7.0
2021-03-27,202112-10857,10857,12,Doraemon,Gaming,71.0,23.0,85.40000000000005,7.4857142857142875,-14.400000000000048,15.514285714285712,71.0,23.0
2021-04-03,202113-10857,10857,12,Doraemon,Gaming,135.0,0.0,110.7428571428572,21.942857142857154,24.257142857142796,-21.942857142857154,135.0,0.0
2021-04-10,202114-10857,10857,12,Doraemon,Gaming,89.0,51.0,98.42857142857147,30.942857142857157,-9.428571428571473,20.057142857142843,89.0,51.0
2021-04-17,202115-10857,10857,12,Doraemon,Gaming,62.0,33.0,70.82857142857146,42.60000000000002,-8.828571428571465,-9.600000000000023,62.0,33.0
2021-04-24,202116-10857,10857,12,Doraemon,Gaming,73.0,37.0,59.71428571428575,38.80000000000002,13.28571428571425,-1.8000000000000185,73.0,37.0
2021-05-01,202117-10857,10857,12,Doraemon,Gaming,38.0,42.0,44.68571428571431,32.31428571428573,-6.685714285714312,9.685714285714269,38.0,42.0
2021-05-08,202118-10857,10857,12,Doraemon,Gaming,28.0,6.0,26.97142857142858,12.000000000000004,1.0285714285714214,-6.0000000000000036,28.0,6.0
2021-05-15,202119-10857,10857,12,Doraemon,Gaming,36.0,0.0,42.34285714285716,-0.3428571428571523,-6.342857142857163,0.3428571428571523,36.0,0.0
2021-05-22,202120-10857,10857,12,Doraemon,Gaming,67.0,25.0,57.48571428571432,37.942857142857164,9.514285714285677,-12.942857142857164,67.0,25.0
2021-05-29,202121-10857,10857,12,Doraemon,Gaming,52.0,86.0,53.371428571428595,60.71428571428575,-1.371428571428595,25.28571428571425,52.0,86.0
2021-06-05,202122-10857,10857,12,Doraemon,Gaming,33.0,37.0,35.22857142857144,52.08571428571432,-2.228571428571442,-15.085714285714317,33.0,37.0
2021-06-12,202123-10857,10857,12,Doraemon,Gaming,36.0,27.0,39.685714285714305,23.400000000000006,-3.6857142857143046,3.5999999999999943,36.0,27.0
2021-06-19,202124-10857,10857,12,Doraemon,Gaming,61.0,29.0,55.34285714285718,29.685714285714297,5.657142857142823,-0.6857142857142975,61.0,29.0
2021-06-26,202125-10857,10857,12,Doraemon,Gaming,65.0,58.0,63.54285714285717,75.22857142857147,1.457142857142827,-17.22857142857147,65.0,58.0
2021-07-03,202126-10857,10857,12,Doraemon,Gaming,71.0,121.0,80.85714285714289,83.80000000000005,-9.85714285714289,37.199999999999946,71.0,121.0
